SBML ID	UNIPROT GENE
4*AT2G01140 OR AT4G26530 OR AT3G52930 OR AT4G38970 OR AT5G03690 OR AT2G21330	average_protein_Cytoplasm
AT1G08250 OR AT3G07630 OR AT1G11790 OR AT2G27820 OR AT3G44720 OR AT5G22630	average_protein_Cytoplasm
AT5G16390 OR AT5G15530 AND AT5G35360 AND 2*AT2G38040 AND 2*ATCG00500	average_protein_Cytoplasm
AT4G35830 OR AT2G05710 OR AT4G26970	average_protein_Cytoplasm
4*AT1G79440	average_protein_Cytoplasm
4*AT3G04120 OR AT1G13440	average_protein_Cytoplasm
2*AT3G54660	average_protein_Cytoplasm
AT3G54640 OR AT4G02610	average_protein_Cytoplasm
AT5G04120 OR AT3G50520 OR AT1G09780 OR AT3G08590	average_protein_Cytoplasm
AT1G79470 OR AT1G16350	average_protein_Cytoplasm
AT1G23310 OR AT1G70580 OR AT1G17290	average_protein_Cytoplasm
AT3G54090 OR AT2G19860 OR AT2G31390 OR AT3G59480	average_protein_Cytoplasm
AT3G02360 OR AT1G64190 OR AT5G41670	average_protein_Cytoplasm
AT5G64860 OR AT2G40840	average_protein_Cytoplasm
AT1G69830 AND AT3G46970	average_protein_Cytoplasm
AT4G32410 OR AT4G39350 OR AT5G05170 OR AT5G44030 OR AT5G09870 OR AT5G64740 OR AT5G17420 OR AT4G18780 OR AT2G21770 OR AT2G25540	average_protein_Cytoplasm
AT3G58750 OR AT2G42790	average_protein_Cytoplasm
AT1G23190 OR AT1G70730 OR AT5G51820	average_protein_Cytoplasm
2*AT4G24620	average_protein_Cytoplasm
AT4G18440 OR AT1G36280	average_protein_Cytoplasm
AT2G37250 OR AT5G50370 OR AT5G63400	average_protein_Cytoplasm
AT2G35390 OR AT1G32380 OR AT1G10700 OR AT2G44530	average_protein_Cytoplasm
ATCG00350 AND ATCG00340 AND ATCG01060 AND AT4G02770 OR AT1G03130 AND AT4G28750 OR AT2G20260 AND AT1G31330 AND AT1G55670 AND AT3G16140 OR AT1G52230 AND ATCG00510 AND ATCG00630 AND AT1G30380 AND AT4G12800 AND AT5G64040 AND AT1G08380 AND AT2G46820	average_protein_Cytoplasm
AT5G04140 OR AT2G41220	average_protein_Cytoplasm
2*AT5G20280 OR 4*AT5G20280	average_protein_Cytoplasm
AT1G53240 OR AT3G47520 OR AT3G15020	average_protein_Cytoplasm
4*AT1G79530 OR AT1G16300	average_protein_Cytoplasm
2*AT4G14880 OR AT3G22460	average_protein_Cytoplasm
6*AT1G55920 OR AT2G17640 OR AT3G13110 OR AT4G35640 OR AT5G56760	average_protein_Cytoplasm
AT2G16370 OR AT2G21550	average_protein_Cytoplasm
2*AT3G57610	average_protein_Cytoplasm
4*AT5G20830 OR AT5G49190 OR AT3G43190	average_protein_Cytoplasm
2*AT4G12440 OR AT5G11160 OR AT4G22570 OR AT1G27450 OR AT1G80050	average_protein_Cytoplasm
8*AT5G35630	average_protein_Cytoplasm
AT5G13420 OR AT1G12230	average_protein_Cytoplasm
2*AT5G08100 AND 2*AT3G16150	average_protein_Cytoplasm
2*AT3G60750 OR AT2G45290	average_protein_Cytoplasm
AT3G12670 OR AT4G02120 OR AT4G20320 OR AT2G34890 OR AT1G30820	average_protein_Cytoplasm
2*AT1G59900 AND 2*AT5G50850	average_protein_Cytoplasm
2*AT1G77760 OR AT1G37130	average_protein_Cytoplasm
AT1G08065 OR AT5G04180 OR AT4G20990 OR AT4G21000 OR AT2G28210 OR AT3G52720 OR 8*AT1G23730 OR AT5G14740	average_protein_Cytoplasm
2*AT2G13360	average_protein_Cytoplasm
AT5G13110 OR AT1G24280 OR AT3G27300 OR AT5G35790 OR AT1G09420	average_protein_Cytoplasm
4*AT3G04050 OR AT5G08570 OR AT3G25960 OR AT2G36580 OR AT3G55650 OR AT3G55810 OR AT5G63680 OR AT3G52990	average_protein_Cytoplasm
2*AT2G29560 OR AT2G36530	average_protein_Cytoplasm
AT5G10330 OR AT1G71920	average_protein_Cytoplasm
AT2G41880 OR AT3G57550	average_protein_Cytoplasm
2*AT3G22200	average_protein_Cytoplasm
AT4G08900 OR AT4G08870	average_protein_Cytoplasm
ATMG01360 AND ATMG00160 AND ATMG00730 AND AT3G15640 OR AT1G80230 AND AT2G47380 OR AT3G62400 OR AT5G61310 AND AT4G37380 AND AT1G22450 OR AT5G57815 OR AT4G28060	average_protein_Cytoplasm
AT5G35170 OR AT2G37250 OR AT5G47840	average_protein_Cytoplasm
4*AT4G13930 OR AT4G13890 OR AT1G22020 OR AT1G36370 OR AT4G37930 OR AT5G26780	average_protein_Cytoplasm
AT5G65010 OR AT5G10240 OR AT3G47340	average_protein_Cytoplasm
2*AT3G04790	average_protein_Cytoplasm
AT1G51980 OR AT3G16480 AND AT3G02090 AND AT2G07727 OR ATMG00220 AND AT3G27240 OR AT5G40810 AND AT5G13440 OR AT5G13430 AND AT2G01090 OR AT1G15120 AND AT4G32470 OR AT5G25450 AND AT3G10860 OR AT5G05370 AND AT3G52730	average_protein_Cytoplasm
2*AT1G18500 OR 4*AT1G74040	average_protein_Cytoplasm
AT1G22410 OR AT4G39980 OR AT4G33510	average_protein_Cytoplasm
AT3G49680 OR AT1G10070 OR AT5G65780	average_protein_Cytoplasm
AT1G58080 OR AT1G09795	average_protein_Cytoplasm
AT5G51690 OR AT1G62960 OR AT1G62800 OR AT5G19550	average_protein_Cytoplasm
4*AT5G11670 OR AT5G25880 OR AT1G79750	average_protein_Cytoplasm
AT1G23310 OR AT1G70580	average_protein_Cytoplasm
AT5G05590 OR AT1G29410 OR AT1G07780	average_protein_Cytoplasm
4*AT3G57050	average_protein_Cytoplasm
AT1G69830 AND AT5G18670 OR AT3G23920 OR AT4G00490 OR AT4G17090 OR AT4G15210 OR AT2G32290	average_protein_Cytoplasm
AT3G25900 OR AT3G63250 OR AT3G22740	average_protein_Cytoplasm
4*AT1G07110	average_protein_Cytoplasm
AT1G35580 OR AT4G09510	average_protein_Cytoplasm
-	average_protein_Cytoplasm
4*AT3G22890 OR AT1G19920 OR AT4G14680 OR AT5G43780	average_protein_Cytoplasm
4*AT1G10670 OR AT1G60810 OR AT1G09430 AND 4*AT3G06650 ORAT5G49460	average_protein_Cytoplasm
3*AT3G46940	average_protein_Cytoplasm
2*AT5G65750 OR AT3G55410	average_protein_Cytoplasm
4*AT4G26520 OR AT4G26530 OR AT3G52930 OR AT2G36460 OR AT5G03690	average_protein_Cytoplasm
AT2G45300 OR AT1G48860	average_protein_Cytoplasm
AT1G60140 OR AT2G18700 OR AT1G78580 OR AT1G16980 OR AT1G17000 OR AT1G06410	average_protein_Cytoplasm
2*AT1G24807 AND 2*AT3G55870 OR AT5G05730 OR AT2G29690	average_protein_Cytoplasm
AT4G20990 OR AT1G08080 OR AT3G52720 OR 8*AT1G23730 OR AT1G70410 OR AT1G58180 OR AT3G01500 OR AT5G14740 OR AT4G33580	average_protein_Cytoplasm
2*AT5G19220 OR AT1G27680 OR AT4G39210 OR AT2G21590 AND 2*AT5G48300 OR AT1G05610	average_protein_Cytoplasm
