M_h2o_b;56000
M_k_b;25
M_pi_b;25
M_glu_L_b;20
M_na1_b;20
M_nh4_b;7.57
M_so4_b;4
M_h_b;1
M_o2_b;0.24
M_mg2_b;0.2
M_co2_b;0.01
M_cl_b;0.001
M_fe2_b;0.00045
M_fe3_b;0.00045
M_3ohpame_b;0.0001
M_cobalt2_b;0.00001
M_mn2_b;0.00001
M_mobd_b;0.00001
