SBML ID	UNIPROT GENE
d0150	
d0157	
RS05381	
RS05382	
d0154	
e0039	average_protein_Cell_outer_membrane
e0038	average_protein_Cell_outer_membrane
d0078	
e0184	average_protein_Cell_outer_membrane
d0163	
d0139	
e0030	average_protein_Cell_outer_membrane
e0053	average_protein_Cell_outer_membrane
e0033	average_protein_Cell_outer_membrane
e0192	average_protein_Cell_outer_membrane
e0032	average_protein_Cell_outer_membrane
RS04914	
e0239	average_protein_Cell_outer_membrane
e0193	average_protein_Cell_outer_membrane
e0237	average_protein_Cell_outer_membrane
e0236	average_protein_Cell_outer_membrane
e0235	average_protein_Cell_outer_membrane
e0234	average_protein_Cell_outer_membrane
e0233	average_protein_Cell_outer_membrane
e0232	average_protein_Cell_outer_membrane
e0231	average_protein_Cell_outer_membrane
e0230	average_protein_Cell_outer_membrane
e0035	average_protein_Cell_outer_membrane
e0036	average_protein_Cell_outer_membrane
e0197	average_protein_Cell_outer_membrane
e0194	average_protein_Cell_outer_membrane
e0195	average_protein_Cell_outer_membrane
e0384	average_protein_Cell_outer_membrane
d0203	
d0202	
d0201	
d0200	
RS03760	
d0206	
d0205	
d0204	
d0207	
d0209	
d0208	
RS04530	
RS04531	
RS04532	
e0034	average_protein_Cell_outer_membrane
e0309	average_protein_Cell_outer_membrane
e0308	average_protein_Cell_outer_membrane
e0303	average_protein_Cell_outer_membrane
e0302	average_protein_Cell_outer_membrane
e0301	average_protein_Cell_outer_membrane
e0300	average_protein_Cell_outer_membrane
e0307	average_protein_Cell_outer_membrane
e0306	average_protein_Cell_outer_membrane
e0305	average_protein_Cell_outer_membrane
e0304	average_protein_Cell_outer_membrane
e0017	average_protein_Cell_outer_membrane
e0016	average_protein_Cell_outer_membrane
e0015	average_protein_Cell_outer_membrane
e0014	average_protein_Cell_outer_membrane
e0013	average_protein_Cell_outer_membrane
e0012	average_protein_Cell_outer_membrane
e0011	average_protein_Cell_outer_membrane
e0010	average_protein_Cell_outer_membrane
e0019	average_protein_Cell_outer_membrane
e0018	average_protein_Cell_outer_membrane
e0398	average_protein_Cell_outer_membrane
e0399	average_protein_Cell_outer_membrane
d0119	
d0118	
d0117	
d0116	
d0115	
d0114	
d0113	
d0112	
d0111	
d0110	
d0149	
s0033	
s0032	
s0031	
s0030	
s0037	
s0036	
s0035	
s0034	
s0039	
s0038	
e0037	average_protein_Cell_outer_membrane
e0163	average_protein_Cell_outer_membrane
e0162	average_protein_Cell_outer_membrane
e0161	average_protein_Cell_outer_membrane
e0160	average_protein_Cell_outer_membrane
e0167	average_protein_Cell_outer_membrane
e0166	average_protein_Cell_outer_membrane
e0165	average_protein_Cell_outer_membrane
e0164	average_protein_Cell_outer_membrane
e0169	average_protein_Cell_outer_membrane
e0168	average_protein_Cell_outer_membrane
d0180	
d0181	
d0069	
d0068	
d0184	
d0185	
d0186	
d0187	
d0063	
d0062	
d0061	
d0060	
d0067	
d0066	
d0065	
d0064	
RS03939	
RS03938	
RS03937	
d0242	
d0241	
d0240	
d0081	
d0080	
d0083	
RS03726	
e0264	average_protein_Cell_outer_membrane
e0265	average_protein_Cell_outer_membrane
e0266	average_protein_Cell_outer_membrane
d0082	
e0260	average_protein_Cell_outer_membrane
e0261	average_protein_Cell_outer_membrane
e0349	average_protein_Cell_outer_membrane
e0348	average_protein_Cell_outer_membrane
e0347	average_protein_Cell_outer_membrane
e0346	average_protein_Cell_outer_membrane
e0345	average_protein_Cell_outer_membrane
e0344	average_protein_Cell_outer_membrane
e0343	average_protein_Cell_outer_membrane
e0342	average_protein_Cell_outer_membrane
e0341	average_protein_Cell_outer_membrane
e0340	average_protein_Cell_outer_membrane
d0087	
d0010	
d0086	
e0419	average_protein_Cell_outer_membrane
e0418	average_protein_Cell_outer_membrane
e0413	average_protein_Cell_outer_membrane
e0412	average_protein_Cell_outer_membrane
e0411	average_protein_Cell_outer_membrane
e0410	average_protein_Cell_outer_membrane
e0417	average_protein_Cell_outer_membrane
e0416	average_protein_Cell_outer_membrane
e0415	average_protein_Cell_outer_membrane
e0414	average_protein_Cell_outer_membrane
RS04829	
RS04004	
RS04005	
e0190	average_protein_Cell_outer_membrane
e0191	average_protein_Cell_outer_membrane
e0196	average_protein_Cell_outer_membrane
RS04001	
RS04002	
RS04003	
e0198	average_protein_Cell_outer_membrane
e0199	average_protein_Cell_outer_membrane
e0040	average_protein_Cell_outer_membrane
e0078	average_protein_Cell_outer_membrane
e0299	average_protein_Cell_outer_membrane
e0298	average_protein_Cell_outer_membrane
e0270	average_protein_Cell_outer_membrane
e0291	average_protein_Cell_outer_membrane
e0290	average_protein_Cell_outer_membrane
e0293	average_protein_Cell_outer_membrane
e0292	average_protein_Cell_outer_membrane
e0295	average_protein_Cell_outer_membrane
e0294	average_protein_Cell_outer_membrane
e0297	average_protein_Cell_outer_membrane
e0296	average_protein_Cell_outer_membrane
e0075	average_protein_Cell_outer_membrane
e0043	average_protein_Cell_outer_membrane
e0074	average_protein_Cell_outer_membrane
e0077	average_protein_Cell_outer_membrane
e0127	average_protein_Cell_outer_membrane
e0126	average_protein_Cell_outer_membrane
e0125	average_protein_Cell_outer_membrane
e0124	average_protein_Cell_outer_membrane
e0123	average_protein_Cell_outer_membrane
e0122	average_protein_Cell_outer_membrane
e0121	average_protein_Cell_outer_membrane
e0120	average_protein_Cell_outer_membrane
d0070	
e0129	average_protein_Cell_outer_membrane
d0071	
d0144	
d0145	
d0146	
d0046	
d0140	
d0141	
d0029	
d0028	
d0027	
d0026	
d0025	
d0024	
d0023	
e0041	average_protein_Cell_outer_membrane
d0021	
d0020	
e0425	average_protein_Cell_outer_membrane
e0079	average_protein_Cell_outer_membrane
e0070	average_protein_Cell_outer_membrane
d0079	
e0073	average_protein_Cell_outer_membrane
e0088	average_protein_Cell_outer_membrane
e0080	average_protein_Cell_outer_membrane
d0092	
e0128	average_protein_Cell_outer_membrane
e0228	average_protein_Cell_outer_membrane
e0229	average_protein_Cell_outer_membrane
d0018	
e0220	average_protein_Cell_outer_membrane
e0221	average_protein_Cell_outer_membrane
