function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
Tcti	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tthy	medium_1	CONSTANT	372530.9854
Tthy	medium_2	CONSTANT	372530.9854
Tthy	medium_3	CONSTANT	372530.9854
Tthy	medium_4	CONSTANT	372530.9854
Tthy	medium_5	CONSTANT	372530.9854
Tthy	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tdguo	medium_1	CONSTANT	372530.9854
Tdguo	medium_2	CONSTANT	372530.9854
Tdguo	medium_3	CONSTANT	372530.9854
Tdguo	medium_4	CONSTANT	372530.9854
Tdguo	medium_5	CONSTANT	372530.9854
Tdguo	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Turt	medium_1	CONSTANT	372530.9854
Turt	medium_2	CONSTANT	372530.9854
Turt	medium_3	CONSTANT	372530.9854
Turt	medium_4	CONSTANT	372530.9854
Turt	medium_5	CONSTANT	372530.9854
Turt	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Taloi	medium_1	CONSTANT	372530.9854
Taloi	medium_2	CONSTANT	372530.9854
Taloi	medium_3	CONSTANT	372530.9854
Taloi	medium_4	CONSTANT	372530.9854
Taloi	medium_5	CONSTANT	372530.9854
Taloi	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tthi	medium_1	CONSTANT	372530.9854
Tthi	medium_2	CONSTANT	372530.9854
Tthi	medium_3	CONSTANT	372530.9854
Tthi	medium_4	CONSTANT	372530.9854
Tthi	medium_5	CONSTANT	372530.9854
Tthi	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Theme	medium_1	CONSTANT	372530.9854
Theme	medium_2	CONSTANT	372530.9854
Theme	medium_3	CONSTANT	372530.9854
Theme	medium_4	CONSTANT	372530.9854
Theme	medium_5	CONSTANT	372530.9854
Theme	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TribU	medium_1	CONSTANT	372530.9854
TribU	medium_2	CONSTANT	372530.9854
TribU	medium_3	CONSTANT	372530.9854
TribU	medium_4	CONSTANT	372530.9854
TribU	medium_5	CONSTANT	372530.9854
TribU	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tfol	medium_1	CONSTANT	372530.9854
Tfol	medium_2	CONSTANT	372530.9854
Tfol	medium_3	CONSTANT	372530.9854
Tfol	medium_4	CONSTANT	372530.9854
Tfol	medium_5	CONSTANT	372530.9854
Tfol	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tpan	medium_1	CONSTANT	372530.9854
Tpan	medium_2	CONSTANT	372530.9854
Tpan	medium_3	CONSTANT	372530.9854
Tpan	medium_4	CONSTANT	372530.9854
Tpan	medium_5	CONSTANT	372530.9854
Tpan	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tnia	medium_1	CONSTANT	372530.9854
Tnia	medium_2	CONSTANT	372530.9854
Tnia	medium_3	CONSTANT	372530.9854
Tnia	medium_4	CONSTANT	372530.9854
Tnia	medium_5	CONSTANT	372530.9854
Tnia	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TbioY	medium_1	CONSTANT	372530.9854
TbioY	medium_2	CONSTANT	372530.9854
TbioY	medium_3	CONSTANT	372530.9854
TbioY	medium_4	CONSTANT	372530.9854
TbioY	medium_5	CONSTANT	372530.9854
TbioY	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	372530.9854	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tnh3	medium_1	CONSTANT	2838989.867
Tnh3	medium_2	CONSTANT	2838989.867
Tnh3	medium_3	CONSTANT	2838989.867
Tnh3	medium_4	CONSTANT	2838989.867
Tnh3	medium_5	CONSTANT	2838989.867
Tnh3	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2838989.867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tnh3b	medium_1	CONSTANT	428075.5745
Tnh3b	medium_2	CONSTANT	428075.5745
Tnh3b	medium_3	CONSTANT	428075.5745
Tnh3b	medium_4	CONSTANT	428075.5745
Tnh3b	medium_5	CONSTANT	428075.5745
Tnh3b	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tno3	medium_1	CONSTANT	428075.5745
Tno3	medium_2	CONSTANT	428075.5745
Tno3	medium_3	CONSTANT	428075.5745
Tno3	medium_4	CONSTANT	428075.5745
Tno3	medium_5	CONSTANT	428075.5745
Tno3	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tno2	medium_1	CONSTANT	428075.5745
Tno2	medium_2	CONSTANT	428075.5745
Tno2	medium_3	CONSTANT	428075.5745
Tno2	medium_4	CONSTANT	428075.5745
Tno2	medium_5	CONSTANT	428075.5745
Tno2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tno2b	medium_1	CONSTANT	428075.5745
Tno2b	medium_2	CONSTANT	428075.5745
Tno2b	medium_3	CONSTANT	428075.5745
Tno2b	medium_4	CONSTANT	428075.5745
Tno2b	medium_5	CONSTANT	428075.5745
Tno2b	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
To2	medium_1	CONSTANT	2838989.867
To2	medium_2	CONSTANT	2838989.867
To2	medium_3	CONSTANT	2838989.867
To2	medium_4	CONSTANT	2838989.867
To2	medium_5	CONSTANT	2838989.867
To2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2838989.867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tqox	medium_1	CONSTANT	2818761.5725
Tqox	medium_2	CONSTANT	2818761.5725
Tqox	medium_3	CONSTANT	2818761.5725
Tqox	medium_4	CONSTANT	2818761.5725
Tqox	medium_5	CONSTANT	2818761.5725
Tqox	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2818761.5725	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcyd	medium_1	CONSTANT	428075.5745
Tcyd	medium_2	CONSTANT	428075.5745
Tcyd	medium_3	CONSTANT	428075.5745
Tcyd	medium_4	CONSTANT	428075.5745
Tcyd	medium_5	CONSTANT	428075.5745
Tcyd	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcta	medium_1	CONSTANT	281876.1573
Tcta	medium_2	CONSTANT	281876.1573
Tcta	medium_3	CONSTANT	281876.1573
Tcta	medium_4	CONSTANT	281876.1573
Tcta	medium_5	CONSTANT	281876.1573
Tcta	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	281876.1573	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tsul	medium_1	CONSTANT	2838989.867
Tsul	medium_2	CONSTANT	2838989.867
Tsul	medium_3	CONSTANT	2838989.867
Tsul	medium_4	CONSTANT	2838989.867
Tsul	medium_5	CONSTANT	2838989.867
Tsul	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2838989.867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tp	medium_1	CONSTANT	431672.2759
Tp	medium_2	CONSTANT	431672.2759
Tp	medium_3	CONSTANT	431672.2759
Tp	medium_4	CONSTANT	431672.2759
Tp	medium_5	CONSTANT	431672.2759
Tp	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	431672.2759	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tp2	medium_1	CONSTANT	428075.5745
Tp2	medium_2	CONSTANT	428075.5745
Tp2	medium_3	CONSTANT	428075.5745
Tp2	medium_4	CONSTANT	428075.5745
Tp2	medium_5	CONSTANT	428075.5745
Tp2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tco2	medium_1	CONSTANT	2838989.867
Tco2	medium_2	CONSTANT	2838989.867
Tco2	medium_3	CONSTANT	2838989.867
Tco2	medium_4	CONSTANT	2838989.867
Tco2	medium_5	CONSTANT	2838989.867
Tco2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2838989.867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmgtE	medium_1	CONSTANT	3666.7801
TmgtE	medium_2	CONSTANT	3666.7801
TmgtE	medium_3	CONSTANT	3666.7801
TmgtE	medium_4	CONSTANT	3666.7801
TmgtE	medium_5	CONSTANT	3666.7801
TmgtE	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	3666.7801	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TfeuABC	medium_1	CONSTANT	428075.5745
TfeuABC	medium_2	CONSTANT	428075.5745
TfeuABC	medium_3	CONSTANT	428075.5745
TfeuABC	medium_4	CONSTANT	428075.5745
TfeuABC	medium_5	CONSTANT	428075.5745
TfeuABC	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TefeNU	medium_1	CONSTANT	2770.9211
TefeNU	medium_2	CONSTANT	2770.9211
TefeNU	medium_3	CONSTANT	2770.9211
TefeNU	medium_4	CONSTANT	2770.9211
TefeNU	medium_5	CONSTANT	2770.9211
TefeNU	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2770.9211	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tyfm	medium_1	CONSTANT	428075.5745
Tyfm	medium_2	CONSTANT	428075.5745
Tyfm	medium_3	CONSTANT	428075.5745
Tyfm	medium_4	CONSTANT	428075.5745
Tyfm	medium_5	CONSTANT	428075.5745
Tyfm	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tmnt	medium_1	CONSTANT	428075.5745
Tmnt	medium_2	CONSTANT	428075.5745
Tmnt	medium_3	CONSTANT	428075.5745
Tmnt	medium_4	CONSTANT	428075.5745
Tmnt	medium_5	CONSTANT	428075.5745
Tmnt	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmntH	medium_1	CONSTANT	1980.2429
TmntH	medium_2	CONSTANT	1980.2429
TmntH	medium_3	CONSTANT	1980.2429
TmntH	medium_4	CONSTANT	1980.2429
TmntH	medium_5	CONSTANT	1980.2429
TmntH	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1980.2429	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcu2	medium_1	CONSTANT	428075.5745
Tcu2	medium_2	CONSTANT	428075.5745
Tcu2	medium_3	CONSTANT	428075.5745
Tcu2	medium_4	CONSTANT	428075.5745
Tcu2	medium_5	CONSTANT	428075.5745
Tcu2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tadc	medium_1	CONSTANT	5117.5387
Tadc	medium_2	CONSTANT	5117.5387
Tadc	medium_3	CONSTANT	5117.5387
Tadc	medium_4	CONSTANT	5117.5387
Tadc	medium_5	CONSTANT	5117.5387
Tadc	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	5117.5387	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TchaA	medium_1	CONSTANT	1109.399
TchaA	medium_2	CONSTANT	1109.399
TchaA	medium_3	CONSTANT	1109.399
TchaA	medium_4	CONSTANT	1109.399
TchaA	medium_5	CONSTANT	1109.399
TchaA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1109.399	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TcitH	medium_1	CONSTANT	428075.5745
TcitH	medium_2	CONSTANT	428075.5745
TcitH	medium_3	CONSTANT	428075.5745
TcitH	medium_4	CONSTANT	428075.5745
TcitH	medium_5	CONSTANT	428075.5745
TcitH	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	428075.5745	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TykuT	medium_1	CONSTANT	298123.8393
TykuT	medium_2	CONSTANT	298123.8393
TykuT	medium_3	CONSTANT	298123.8393
TykuT	medium_4	CONSTANT	298123.8393
TykuT	medium_5	CONSTANT	298123.8393
TykuT	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	298123.8393	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tmrp	medium_1	CONSTANT	2560347.4625
Tmrp	medium_2	CONSTANT	2560347.4625
Tmrp	medium_3	CONSTANT	2560347.4625
Tmrp	medium_4	CONSTANT	2560347.4625
Tmrp	medium_5	CONSTANT	2560347.4625
Tmrp	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2560347.4625	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Th	medium_1	CONSTANT	2735385.8455
Th	medium_2	CONSTANT	2735385.8455
Th	medium_3	CONSTANT	2735385.8455
Th	medium_4	CONSTANT	2735385.8455
Th	medium_5	CONSTANT	2735385.8455
Th	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2735385.8455	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Th2o	medium_1	CONSTANT	2838989.867
Th2o	medium_2	CONSTANT	2838989.867
Th2o	medium_3	CONSTANT	2838989.867
Th2o	medium_4	CONSTANT	2838989.867
Th2o	medium_5	CONSTANT	2838989.867
Th2o	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2838989.867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
EnasBC	medium_1	CONSTANT	6943.4356
EnasBC	medium_2	CONSTANT	19760.0428
EnasBC	medium_3	CONSTANT	33479.8136
EnasBC	medium_4	CONSTANT	25766.497
EnasBC	medium_5	CONSTANT	38001.1253
EnasBC	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	38001.1253	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
EnasDE	medium_1	CONSTANT	6943.4356
EnasDE	medium_2	CONSTANT	19760.0428
EnasDE	medium_3	CONSTANT	33479.8136
EnasDE	medium_4	CONSTANT	25766.497
EnasDE	medium_5	CONSTANT	38001.1253
EnasDE	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	38001.1253	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
EptsH	medium_1	CONSTANT	2787445.8162
EptsH	medium_2	CONSTANT	1202886.5174
EptsH	medium_3	CONSTANT	1242001.8584
EptsH	medium_4	CONSTANT	2654336.9965
EptsH	medium_5	CONSTANT	1860002.8995
EptsH	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	717525.8566	Y_MAX	2838989.867	LINEAR_COEF	717437.9018	X_MAX	1.6	X_MIN	0.25
EptsI	medium_1	CONSTANT	294477.3945
EptsI	medium_2	CONSTANT	151041.2918
EptsI	medium_3	CONSTANT	197525.0636
EptsI	medium_4	CONSTANT	280415.224
EptsI	medium_5	CONSTANT	129283.0641
EptsI	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	193795.3336	Y_MAX	2838989.867	LINEAR_COEF	-34512.1938	X_MAX	1.6	X_MIN	0.25
EfruB	medium_1	CONSTANT	6943.4356
EfruB	medium_2	CONSTANT	8464.7729
EfruB	medium_3	CONSTANT	17742.4467
EfruB	medium_4	CONSTANT	25766.497
EfruB	medium_5	CONSTANT	31987.7141
EfruB	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EmalA	medium_1	CONSTANT	6943.4356
EmalA	medium_2	CONSTANT	8464.7729
EmalA	medium_3	CONSTANT	17742.4467
EmalA	medium_4	CONSTANT	25766.497
EmalA	medium_5	CONSTANT	31987.7141
EmalA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EsacA	medium_1	CONSTANT	6943.4356
EsacA	medium_2	CONSTANT	8464.7729
EsacA	medium_3	CONSTANT	17742.4467
EsacA	medium_4	CONSTANT	25766.497
EsacA	medium_5	CONSTANT	31987.7141
EsacA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EmanA	medium_1	CONSTANT	6943.4356
EmanA	medium_2	CONSTANT	8464.7729
EmanA	medium_3	CONSTANT	17742.4467
EmanA	medium_4	CONSTANT	25766.497
EmanA	medium_5	CONSTANT	31987.7141
EmanA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EmtlD	medium_1	CONSTANT	6943.4356
EmtlD	medium_2	CONSTANT	8464.7729
EmtlD	medium_3	CONSTANT	17742.4467
EmtlD	medium_4	CONSTANT	25766.497
EmtlD	medium_5	CONSTANT	31987.7141
EmtlD	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EtreA	medium_1	CONSTANT	6943.4356
EtreA	medium_2	CONSTANT	8464.7729
EtreA	medium_3	CONSTANT	17742.4467
EtreA	medium_4	CONSTANT	25766.497
EtreA	medium_5	CONSTANT	31987.7141
EtreA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
ElicH1	medium_1	CONSTANT	6943.4356
ElicH1	medium_2	CONSTANT	8464.7729
ElicH1	medium_3	CONSTANT	17742.4467
ElicH1	medium_4	CONSTANT	25766.497
ElicH1	medium_5	CONSTANT	31987.7141
ElicH1	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
ElicH2	medium_1	CONSTANT	6943.4356
ElicH2	medium_2	CONSTANT	8464.7729
ElicH2	medium_3	CONSTANT	17742.4467
ElicH2	medium_4	CONSTANT	25766.497
ElicH2	medium_5	CONSTANT	31987.7141
ElicH2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EglcK	medium_1	CONSTANT	6943.4356
EglcK	medium_2	CONSTANT	8464.7729
EglcK	medium_3	CONSTANT	17742.4467
EglcK	medium_4	CONSTANT	25766.497
EglcK	medium_5	CONSTANT	31987.7141
EglcK	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EgutB	medium_1	CONSTANT	6943.4356
EgutB	medium_2	CONSTANT	8464.7729
EgutB	medium_3	CONSTANT	17742.4467
EgutB	medium_4	CONSTANT	25766.497
EgutB	medium_5	CONSTANT	31987.7141
EgutB	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EgmuE	medium_1	CONSTANT	6943.4356
EgmuE	medium_2	CONSTANT	8464.7729
EgmuE	medium_3	CONSTANT	17742.4467
EgmuE	medium_4	CONSTANT	25766.497
EgmuE	medium_5	CONSTANT	31987.7141
EgmuE	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
ErbsK	medium_1	CONSTANT	6943.4356
ErbsK	medium_2	CONSTANT	8464.7729
ErbsK	medium_3	CONSTANT	17742.4467
ErbsK	medium_4	CONSTANT	25766.497
ErbsK	medium_5	CONSTANT	31987.7141
ErbsK	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EglpK	medium_1	CONSTANT	7071.8302
EglpK	medium_2	CONSTANT	19978.1145
EglpK	medium_3	CONSTANT	34450.2736
EglpK	medium_4	CONSTANT	27558.9814
EglpK	medium_5	CONSTANT	48824.0079
EglpK	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	681.2393	Y_MAX	2838989.867	LINEAR_COEF	32808.554	X_MAX	1.6	X_MIN	0.25
EglpD	medium_1	CONSTANT	283898.9867
EglpD	medium_2	CONSTANT	283898.9867
EglpD	medium_3	CONSTANT	283898.9867
EglpD	medium_4	CONSTANT	283898.9867
EglpD	medium_5	CONSTANT	283898.9867
EglpD	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	283898.9867	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
EiolG	medium_1	CONSTANT	6943.4356
EiolG	medium_2	CONSTANT	8464.7729
EiolG	medium_3	CONSTANT	17742.4467
EiolG	medium_4	CONSTANT	25766.497
EiolG	medium_5	CONSTANT	31987.7141
EiolG	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EiolE	medium_1	CONSTANT	6943.4356
EiolE	medium_2	CONSTANT	8464.7729
EiolE	medium_3	CONSTANT	17742.4467
EiolE	medium_4	CONSTANT	25766.497
EiolE	medium_5	CONSTANT	31987.7141
EiolE	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EiolD	medium_1	CONSTANT	6943.4356
EiolD	medium_2	CONSTANT	8464.7729
EiolD	medium_3	CONSTANT	17742.4467
EiolD	medium_4	CONSTANT	25766.497
EiolD	medium_5	CONSTANT	31987.7141
EiolD	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EiolC	medium_1	CONSTANT	6943.4356
EiolC	medium_2	CONSTANT	8464.7729
EiolC	medium_3	CONSTANT	17742.4467
EiolC	medium_4	CONSTANT	25766.497
EiolC	medium_5	CONSTANT	31987.7141
EiolC	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EiolJ	medium_1	CONSTANT	6943.4356
EiolJ	medium_2	CONSTANT	8464.7729
EiolJ	medium_3	CONSTANT	17742.4467
EiolJ	medium_4	CONSTANT	25766.497
EiolJ	medium_5	CONSTANT	31987.7141
EiolJ	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EiolA	medium_1	CONSTANT	6943.4356
EiolA	medium_2	CONSTANT	8464.7729
EiolA	medium_3	CONSTANT	17742.4467
EiolA	medium_4	CONSTANT	25766.497
EiolA	medium_5	CONSTANT	31987.7141
EiolA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EgntK	medium_1	CONSTANT	6943.4356
EgntK	medium_2	CONSTANT	8464.7729
EgntK	medium_3	CONSTANT	17742.4467
EgntK	medium_4	CONSTANT	25766.497
EgntK	medium_5	CONSTANT	31987.7141
EgntK	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EaraA	medium_1	CONSTANT	6943.4356
EaraA	medium_2	CONSTANT	8464.7729
EaraA	medium_3	CONSTANT	17742.4467
EaraA	medium_4	CONSTANT	25766.497
EaraA	medium_5	CONSTANT	31987.7141
EaraA	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EaraB	medium_1	CONSTANT	6943.4356
EaraB	medium_2	CONSTANT	8464.7729
EaraB	medium_3	CONSTANT	17742.4467
EaraB	medium_4	CONSTANT	25766.497
EaraB	medium_5	CONSTANT	31987.7141
EaraB	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
EaraD	medium_1	CONSTANT	6943.4356
EaraD	medium_2	CONSTANT	8464.7729
EaraD	medium_3	CONSTANT	17742.4467
EaraD	medium_4	CONSTANT	25766.497
EaraD	medium_5	CONSTANT	31987.7141
EaraD	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-925.2878	Y_MAX	2838989.867	LINEAR_COEF	20994.3475	X_MAX	1.6	X_MIN	0.25
Epgi	medium_1	CONSTANT	2002.9932
Epgi	medium_2	CONSTANT	150771.0203
Epgi	medium_3	CONSTANT	177812.797
Epgi	medium_4	CONSTANT	24447.4576
Epgi	medium_5	CONSTANT	214995.588
Epgi	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	-54937.3083	Y_MAX	2838989.867	LINEAR_COEF	284711.9169	X_MAX	1.6	X_MIN	0.25
Epfk	medium_1	CONSTANT	859742.3304
Epfk	medium_2	CONSTANT	1123157.0132
Epfk	medium_3	CONSTANT	509489.1415
Epfk	medium_4	CONSTANT	615511.7558
Epfk	medium_5	CONSTANT	694341.5711
Epfk	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	2216252.9098	Y_MAX	2838989.867	LINEAR_COEF	-1917712.0992	X_MAX	1.6	X_MIN	0.25
