function	medium_1	constant
function	medium_2	constant
function	medium_3	constant
function	medium_4	constant
function	medium_5	constant
function	linearModel	linear
TiolF	medium_3	CONSTANT	444675.4807
TiolF	medium_4	CONSTANT	444675.4807
TiolF	medium_5	CONSTANT	444675.4807
TiolF	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	444675.4807	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Trbs	medium_1	CONSTANT	333506.6105
Trbs	medium_2	CONSTANT	333506.6105
Trbs	medium_3	CONSTANT	333506.6105
Trbs	medium_4	CONSTANT	333506.6105
Trbs	medium_5	CONSTANT	333506.6105
Trbs	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	333506.6105	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TgntP	medium_1	CONSTANT	444675.4807
TgntP	medium_2	CONSTANT	444675.4807
TgntP	medium_3	CONSTANT	444675.4807
TgntP	medium_4	CONSTANT	444675.4807
TgntP	medium_5	CONSTANT	444675.4807
TgntP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	444675.4807	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TaraE	medium_1	CONSTANT	444675.4807
TaraE	medium_2	CONSTANT	444675.4807
TaraE	medium_3	CONSTANT	444675.4807
TaraE	medium_4	CONSTANT	444675.4807
TaraE	medium_5	CONSTANT	444675.4807
TaraE	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	444675.4807	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TaraPQ	medium_1	CONSTANT	333506.6105
TaraPQ	medium_2	CONSTANT	333506.6105
TaraPQ	medium_3	CONSTANT	333506.6105
TaraPQ	medium_4	CONSTANT	333506.6105
TaraPQ	medium_5	CONSTANT	333506.6105
TaraPQ	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	333506.6105	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tpyr	medium_1	CONSTANT	125899.2848
Tpyr	medium_2	CONSTANT	125899.2848
Tpyr	medium_3	CONSTANT	125899.2848
Tpyr	medium_4	CONSTANT	125899.2848
Tpyr	medium_5	CONSTANT	125899.2848
Tpyr	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TdctP1	medium_1	CONSTANT	125899.2848
TdctP1	medium_2	CONSTANT	125899.2848
TdctP1	medium_3	CONSTANT	125899.2848
TdctP1	medium_4	CONSTANT	125899.2848
TdctP1	medium_5	CONSTANT	125899.2848
TdctP1	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TdctP2	medium_1	CONSTANT	125899.2848
TdctP2	medium_2	CONSTANT	125899.2848
TdctP2	medium_3	CONSTANT	125899.2848
TdctP2	medium_4	CONSTANT	125899.2848
TdctP2	medium_5	CONSTANT	125899.2848
TdctP2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TcitM	medium_1	CONSTANT	125899.2848
TcitM	medium_2	CONSTANT	125899.2848
TcitM	medium_3	CONSTANT	125899.2848
TcitM	medium_4	CONSTANT	125899.2848
TcitM	medium_5	CONSTANT	125899.2848
TcitM	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TcimH1	medium_1	CONSTANT	125899.2848
TcimH1	medium_2	CONSTANT	125899.2848
TcimH1	medium_3	CONSTANT	125899.2848
TcimH1	medium_4	CONSTANT	125899.2848
TcimH1	medium_5	CONSTANT	125899.2848
TcimH1	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Takg	medium_1	CONSTANT	83932.8566
Takg	medium_2	CONSTANT	83932.8566
Takg	medium_3	CONSTANT	83932.8566
Takg	medium_4	CONSTANT	83932.8566
Takg	medium_5	CONSTANT	83932.8566
Takg	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	83932.8566	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TmaeN	medium_1	CONSTANT	125899.2848
TmaeN	medium_2	CONSTANT	125899.2848
TmaeN	medium_3	CONSTANT	125899.2848
TmaeN	medium_4	CONSTANT	125899.2848
TmaeN	medium_5	CONSTANT	125899.2848
TmaeN	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TcimH2	medium_1	CONSTANT	125899.2848
TcimH2	medium_2	CONSTANT	125899.2848
TcimH2	medium_3	CONSTANT	125899.2848
TcimH2	medium_4	CONSTANT	125899.2848
TcimH2	medium_5	CONSTANT	125899.2848
TcimH2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tack	medium_1	CONSTANT	170163.7185
Tack	medium_2	CONSTANT	170163.7185
Tack	medium_3	CONSTANT	170163.7185
Tack	medium_4	CONSTANT	170163.7185
Tack	medium_5	CONSTANT	170163.7185
Tack	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	170163.7185	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tact	medium_1	CONSTANT	125899.2848
Tact	medium_2	CONSTANT	125899.2848
Tact	medium_3	CONSTANT	125899.2848
Tact	medium_4	CONSTANT	125899.2848
Tact	medium_5	CONSTANT	125899.2848
Tact	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
TlctP	medium_1	CONSTANT	125899.2848
TlctP	medium_2	CONSTANT	125899.2848
TlctP	medium_3	CONSTANT	125899.2848
TlctP	medium_4	CONSTANT	125899.2848
TlctP	medium_5	CONSTANT	125899.2848
TlctP	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tform	medium_1	CONSTANT	125899.2848
Tform	medium_2	CONSTANT	125899.2848
Tform	medium_3	CONSTANT	125899.2848
Tform	medium_4	CONSTANT	125899.2848
Tform	medium_5	CONSTANT	125899.2848
Tform	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	125899.2848	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tala	medium_1	CONSTANT	509089.2253
Tala	medium_2	CONSTANT	509089.2253
Tala	medium_3	CONSTANT	509089.2253
Tala	medium_4	CONSTANT	509089.2253
Tala	medium_5	CONSTANT	509089.2253
Tala	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	509089.2253	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Targ	medium_1	CONSTANT	358938.3686
Targ	medium_2	CONSTANT	358938.3686
Targ	medium_3	CONSTANT	358938.3686
Targ	medium_4	CONSTANT	358938.3686
Targ	medium_5	CONSTANT	358938.3686
Targ	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	358938.3686	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Targ2	medium_1	CONSTANT	179469.1843
Targ2	medium_2	CONSTANT	179469.1843
Targ2	medium_3	CONSTANT	179469.1843
Targ2	medium_4	CONSTANT	179469.1843
Targ2	medium_5	CONSTANT	179469.1843
Targ2	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	179469.1843	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tasn	medium_1	CONSTANT	1322393.5661
Tasn	medium_2	CONSTANT	1322393.5661
Tasn	medium_3	CONSTANT	1322393.5661
Tasn	medium_4	CONSTANT	1322393.5661
Tasn	medium_5	CONSTANT	1322393.5661
Tasn	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	1322393.5661	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tasp	medium_1	CONSTANT	94677.8799
Tasp	medium_2	CONSTANT	94677.8799
Tasp	medium_3	CONSTANT	94677.8799
Tasp	medium_4	CONSTANT	94677.8799
Tasp	medium_5	CONSTANT	94677.8799
Tasp	linearModel	Y_MIN	511.6565	LINEAR_CONSTANT	94677.8799	Y_MAX	2838989.867	LINEAR_COEF	0	X_MAX	1.6	X_MIN	0.25
Tcys	medium_1	CONSTANT	60303.6048
Tcys	medium_2	CONSTANT	60303.6048
